label,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,pixel16,pixel17,pixel18,pixel19,pixel20,pixel21,pixel22,pixel23,pixel24,pixel25,pixel26,pixel27,pixel28,pixel29,pixel30,pixel31,pixel32,pixel33,pixel34,pixel35,pixel36,pixel37,pixel38,pixel39,pixel40,pixel41,pixel42,pixel43,pixel44,pixel45,pixel46,pixel47,pixel48,pixel49,pixel50,pixel51,pixel52,pixel53,pixel54,pixel55,pixel56,pixel57,pixel58,pixel59,pixel60,pixel61,pixel62,pixel63,pixel64,pixel65,pixel66,pixel67,pixel68,pixel69,pixel70,pixel71,pixel72,pixel73,pixel74,pixel75,pixel76,pixel77,pixel78,pixel79,pixel80,pixel81,pixel82,pixel83,pixel84,pixel85,pixel86,pixel87,pixel88,pixel89,pixel90,pixel91,pixel92,pixel93,pixel94,pixel95,pixel96,pixel97,pixel98,pixel99,pixel100,pixel101,pixel102,pixel103,pixel104,pixel105,pixel106,pixel107,pixel108,pixel109,pixel110,pixel111,pixel112,pixel113,pixel114,pixel115,pixel116,pixel117,pixel118,pixel119,pixel120,pixel121,pixel122,pixel123,pixel124,pixel125,pixel126,pixel127,pixel128
0,0,1,0,0,183,0,14,0,0,5,2,69,4,94,9,0,0,76,3,179,143,99,0,0,0,1,92,542,289,150,0,15,4,12,74,11,125,25,97,1,2,24,123,77,17,4,0,3,0,5,2,79,57,48,6,0,0,0,103,1142,565,32,13,0,0,3,186,524,716,105,46,9,0,0,94,3,4,48,6,5,3,0,19,0,92,1,3,1,31,0,46,2,5,32,0,0,0,2,12,0,97,0,0,5,3,129,9,0,8,54,102,0,5,63,79,82,0,76,205,0,2,121,152,7,0,49,159,0
0,4,1,0,14,340,4,0,0,0,0,3,92,3,81,0,6,0,107,2,222,95,22,8,8,1,1,70,444,67,161,9,67,0,13,80,9,124,28,172,2,0,20,127,67,15,4,0,4,0,3,4,67,52,46,5,0,0,0,110,1368,544,9,10,0,12,6,326,504,637,131,49,3,0,10,190,3,6,68,14,8,0,15,19,0,105,14,3,1,5,0,0,12,6,36,0,0,0,2,35,2,106,0,0,14,0,174,0,9,0,56,115,0,3,65,69,2,0,86,222,0,1,118,94,1,3,70,203,0
0,6,1,0,13,344,0,0,5,0,0,2,92,3,88,0,7,1,106,1,224,96,27,5,0,1,0,68,481,90,169,23,56,0,17,79,27,123,31,173,1,2,24,119,80,9,5,3,4,0,0,12,63,54,46,5,2,0,1,112,1383,590,7,11,0,3,0,325,520,675,131,46,2,0,4,184,12,5,70,12,8,7,3,0,0,104,17,0,0,0,1,33,15,4,39,0,0,1,3,43,3,99,11,0,3,0,153,0,8,0,61,124,1,3,65,77,1,0,78,224,0,1,119,100,0,0,67,203,0
0,18,0,0,13,329,1,0,1,19,0,3,91,3,87,0,0,13,92,3,239,96,32,15,0,0,0,69,481,91,169,16,60,2,14,78,8,115,41,180,0,0,20,113,67,3,2,0,17,0,6,1,70,55,51,0,4,0,0,122,1377,600,23,30,6,1,0,331,536,669,135,48,0,0,0,183,4,4,72,15,4,1,0,19,0,106,19,0,0,3,1,38,10,7,39,0,2,7,0,41,3,100,14,0,5,20,162,0,10,2,61,117,0,5,39,68,3,0,90,228,0,0,129,101,1,3,70,211,0
0,6,0,0,13,338,0,0,7,0,0,3,93,1,87,0,7,1,107,1,235,93,28,10,2,0,2,73,465,89,183,22,57,0,12,80,12,118,28,177,1,0,20,118,67,9,5,2,4,0,1,2,70,61,45,7,0,0,0,113,1376,590,9,15,0,12,29,321,535,673,135,44,1,6,0,238,0,4,72,12,9,31,17,48,0,104,17,0,2,0,4,35,30,6,38,0,0,0,5,42,2,96,20,0,8,0,153,0,8,0,49,133,1,4,64,70,1,1,105,229,7,2,123,103,2,1,89,213,3
0,1,0,0,14,350,1,0,0,3,0,2,91,2,88,0,0,4,111,3,227,94,34,15,1,0,5,67,468,87,163,14,63,0,15,80,22,118,35,184,3,9,13,119,70,10,3,0,7,7,1,2,72,70,43,0,4,1,0,116,1389,604,7,33,9,0,0,334,542,661,143,44,3,0,1,188,5,5,68,9,10,3,1,20,0,107,16,17,3,3,0,63,10,5,36,0,7,0,15,43,4,100,11,0,5,0,156,0,9,2,61,115,0,0,65,67,3,0,92,220,0,7,122,101,1,3,68,207,0
0,4,0,0,11,337,0,0,0,0,4,0,69,12,84,2,0,3,101,0,180,80,39,16,0,0,0,51,484,95,96,15,60,0,14,79,65,210,7,96,1,0,41,130,113,31,6,34,4,0,4,3,78,57,49,24,0,0,0,113,1323,564,7,13,0,0,12,327,526,644,135,44,4,0,14,183,9,4,68,14,25,8,0,29,0,107,17,0,2,0,0,39,70,4,39,0,0,1,3,41,0,110,0,0,0,0,156,0,2,12,52,119,0,5,64,81,4,12,80,240,0,2,120,104,7,0,52,209,0
0,17,0,0,12,390,1,0,0,0,7,3,73,2,87,1,0,0,103,3,82,72,17,15,0,0,0,24,380,81,129,8,62,0,13,81,51,183,37,114,0,0,27,135,102,19,2,67,35,0,73,3,77,57,59,38,0,0,0,120,1334,558,8,5,0,0,1,337,508,640,135,47,12,0,2,182,3,6,67,11,27,2,0,21,0,108,17,1,1,4,1,35,10,5,35,0,0,0,14,47,9,99,10,0,7,4,163,0,11,3,60,115,0,3,63,63,19,0,87,240,0,22,111,107,0,3,68,206,0
0,5,2,0,12,395,0,0,15,0,6,2,73,2,89,0,7,0,106,1,86,72,18,15,0,0,1,34,401,80,135,19,53,0,13,93,44,176,8,139,1,1,27,141,100,23,5,68,38,0,69,5,71,60,48,28,1,0,0,123,1347,556,9,13,0,0,0,334,552,645,152,46,4,0,1,191,15,6,70,15,26,3,0,19,0,119,24,0,0,4,2,0,2,9,32,0,0,0,2,44,3,102,9,0,11,0,151,0,8,1,61,117,0,3,63,70,1,0,89,241,0,1,119,101,2,1,72,209,0
0,9,1,6,11,390,1,0,0,5,0,12,82,4,89,0,0,0,99,0,103,73,16,15,1,37,0,33,404,86,134,13,60,0,15,76,45,174,23,139,0,0,25,135,108,20,5,81,12,0,73,1,78,60,48,34,3,0,0,120,1340,519,8,6,2,1,0,328,432,659,114,45,4,0,1,173,3,3,60,7,24,3,0,22,0,105,17,2,1,4,1,33,10,5,41,0,0,4,0,48,12,101,11,0,4,17,140,0,7,2,63,110,4,11,115,66,0,0,94,216,0,0,124,95,0,2,69,105,9
